Player_Name,Year,Matches_Batted,Runs_Scored,Batting_Average,Batting_Strike_Rate,Balls_Faced,Matches_Bowled,Balls_Bowled,Wickets_Taken,Bowling_Average,Economy_Rate,Batsman_Type,Bowler_Type,Batsman_Dominance,Bowler_Dominance,Rolling_Avg_Runs
Aaron Hardie,,,,,,,,,,,,Anchor,Spin,,,
Abdul Samad,2024.0,16,182.0,18.2,168.52,108.0,16,0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,182.0
Abdul Samad,2023.0,9,169.0,42.25,132.03,128.0,9,0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,175.5
Abdul Samad,2022.0,2,4.0,2.0,57.14,7.0,2,6,0.0,0.0,8.0,Anchor,Spin,7.1425,0.0,118.33333333333333
Abdul Samad,2021.0,11,111.0,12.33,127.58,87.0,11,6,1.0,9.0,9.0,Anchor,Pace,14.175555555555555,0.7299270072992701,94.66666666666667
Abdul Samad,2020.0,12,111.0,22.2,170.76,65.0,12,42,1.0,96.0,13.71,Aggressive,Pace,12.455142231947482,4.324324324324325,75.33333333333333
Abhinandan Singh,,,,,,,,,,,,Anchor,Spin,,,
Abhinav Manohar,2024.0,2,9.0,4.5,56.25,16.0,2,0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,9.0
Abhinav Manohar,2023.0,9,114.0,19.0,137.35,83.0,9,0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,61.5
Abhinav Manohar,2022.0,8,108.0,18.0,144.0,75.0,8,0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,77.0
Abhishek Sharma,2024.0,16,484.0,32.27,204.22,237.0,16,42,2.0,25.5,7.29,Aggressive,Spin,28.013717421124827,0.7902076231794235,484.0
Abhishek Sharma,2023.0,11,226.0,20.55,143.95,157.0,11,72,2.0,62.0,10.33,Aggressive,Pace,13.9351403678606,3.017031630170316,355.0
Abhishek Sharma,2022.0,14,426.0,30.43,133.13,320.0,14,24,0.0,0.0,9.5,Anchor,Pace,14.013684210526316,0.0,378.6666666666667
Abhishek Sharma,2021.0,8,98.0,16.33,130.66,75.0,8,60,4.0,16.0,6.4,Anchor,Spin,20.415625,0.9797917942437233,250.0
Abhishek Sharma,2020.0,8,71.0,14.2,126.78,56.0,8,60,2.0,45.5,9.1,Anchor,Pace,13.931868131868132,3.204225352112676,198.33333333333334
Abhishek Sharma,2019.0,3,9.0,4.5,100.0,9.0,3,12,1.0,21.0,10.5,Anchor,Pace,9.523809523809524,4.666666666666667,59.333333333333336
Abhishek Sharma,2018.0,3,63.0,63.0,190.9,33.0,3,0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,47.666666666666664
Abishek Porel,2024.0,14,327.0,32.7,159.51,205.0,14,0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,327.0
Abishek Porel,2023.0,4,33.0,8.25,106.45,31.0,4,0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,180.0
Adam Zampa,2020.0,0.0,0.0,0.0,0.0,0.0,3,66,2.0,46.0,8.36,Anchor,Spin,0.0,inf,0.0
Adam Zampa,2017.0,6.0,5.0,5.0,71.42,7.0,6,119,7.0,23.28,8.21,Anchor,Spin,8.699147381242387,4.656000000000001,2.5
Adam Zampa,2016.0,5.0,0.0,0.0,0.0,1.0,5,102,12.0,9.58,6.76,Anchor,Spin,0.0,inf,1.6666666666666667
Aiden Markram,2024.0,11,220.0,24.44,124.29,177.0,11,12,0.0,0.0,7.5,Anchor,Spin,16.572,0.0,220.0
Aiden Markram,2023.0,13,248.0,22.55,125.89,197.0,13,49,1.0,70.0,8.57,Anchor,Pace,14.689614935822636,3.104212860310421,234.0
Aiden Markram,2022.0,14,381.0,47.63,139.05,274.0,14,36,1.0,64.0,10.67,Anchor,Pace,13.031865042174323,1.3436909510812511,283.0
Aiden Markram,2021.0,6,146.0,29.2,122.68,119.0,6,24,0.0,0.0,5.75,Anchor,Spin,21.335652173913044,0.0,258.3333333333333
Ajay Mandal,,,,,,,,,,,,Anchor,Spin,,,
Ajinkya Rahane,2024.0,13,242.0,20.17,123.47,196.0,13.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,242.0
Ajinkya Rahane,2023.0,14,326.0,32.6,172.49,189.0,14.0,0.0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,284.0
Ajinkya Rahane,2022.0,7,133.0,19.0,103.91,128.0,7.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,233.66666666666666
Ajinkya Rahane,2021.0,2,8.0,8.0,100.0,8.0,0.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,155.66666666666666
Ajinkya Rahane,2020.0,9,113.0,14.12,105.6,107.0,9.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,84.66666666666667
Ajinkya Rahane,2019.0,14,393.0,32.75,137.89,285.0,14.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,171.33333333333334
Ajinkya Rahane,2018.0,15,370.0,28.46,118.21,313.0,15.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,292.0
Ajinkya Rahane,2017.0,16,382.0,25.46,118.26,323.0,16.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,381.6666666666667
Ajinkya Rahane,2016.0,14,480.0,43.63,126.64,379.0,14.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,410.6666666666667
Ajinkya Rahane,2015.0,14,540.0,49.09,130.75,413.0,14.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,467.3333333333333
Ajinkya Rahane,2014.0,13,339.0,28.25,116.49,291.0,13.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,453.0
Ajinkya Rahane,2013.0,18,488.0,34.85,106.55,458.0,18.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,455.6666666666667
Ajinkya Rahane,2012.0,16,560.0,40.0,129.33,433.0,16.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,462.3333333333333
Ajinkya Rahane,2011.0,10,120.0,20.0,122.44,98.0,10.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,389.3333333333333
Ajinkya Rahane,2009.0,8,144.0,24.0,117.07,123.0,8.0,6.0,1.0,5.0,5.0,Anchor,Spin,23.413999999999998,0.20833333333333334,274.6666666666667
