Player_Name,Year,Matches_Batted,Runs_Scored,Batting_Average,Batting_Strike_Rate,Balls_Faced,Matches_Bowled,Balls_Bowled,Wickets_Taken,Bowling_Average,Economy_Rate,Batsman_Type,Bowler_Type,Batsman_Dominance,Bowler_Dominance,Rolling_Avg_Runs
Aaron Hardie,,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,Anchor,Spin,0.0,0.0,0.0
Abdul Samad,2024.0,16,182.0,18.2,168.52,108.0,16,0,0.0,0.0,0.0,Aggressive,Spin,1685200.0,0.0,182.0
Abdul Samad,2023.0,9,169.0,42.25,132.03,128.0,9,0,0.0,0.0,0.0,Anchor,Spin,1320300.0,0.0,175.5
Abdul Samad,2022.0,2,4.0,2.0,57.14,7.0,2,6,0.0,0.0,8.0,Anchor,Spin,7.142410719866002,0.0,118.33333333333333
Abdul Samad,2021.0,11,111.0,12.33,127.58,87.0,11,6,1.0,9.0,9.0,Anchor,Pace,14.175398051132765,0.7299210874202156,116.5
Abdul Samad,2020.0,12,111.0,22.2,170.76,65.0,12,42,1.0,96.0,13.71,Aggressive,Pace,12.45505138547494,4.3243048454736694,115.4
Abhinandan Singh,,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,Anchor,Spin,0.0,0.0,0.0
Abhinav Manohar,2024.0,2,9.0,4.5,56.25,16.0,2,0,0.0,0.0,0.0,Anchor,Spin,562500.0,0.0,9.0
Abhinav Manohar,2023.0,9,114.0,19.0,137.35,83.0,9,0,0.0,0.0,0.0,Anchor,Spin,1373499.9999999998,0.0,61.5
Abhinav Manohar,2022.0,8,108.0,18.0,144.0,75.0,8,0,0.0,0.0,0.0,Aggressive,Spin,1440000.0,0.0,77.0
Abhishek Sharma,2024.0,16,484.0,32.27,204.22,237.0,16,42,2.0,25.5,7.29,Aggressive,Spin,28.013333150436896,0.7902051744494127,484.0
Abhishek Sharma,2023.0,11,226.0,20.55,143.95,157.0,11,72,2.0,62.0,10.33,Aggressive,Pace,13.935005469453344,3.0170169488226333,355.0
Abhishek Sharma,2022.0,14,426.0,30.43,133.13,320.0,14,24,0.0,0.0,9.5,Anchor,Pace,14.013536699613688,0.0,378.6666666666667
Abhishek Sharma,2021.0,8,98.0,16.33,130.66,75.0,8,60,4.0,16.0,6.4,Anchor,Spin,20.41530601084358,0.9797857943307146,308.5
Abhishek Sharma,2020.0,8,71.0,14.2,126.78,56.0,8,60,2.0,45.5,9.1,Anchor,Pace,13.931715036098506,3.204202787304315,261.0
Abhishek Sharma,2019.0,3,9.0,4.5,100.0,9.0,3,12,1.0,21.0,10.5,Anchor,Pace,9.523718821725508,4.666562965267438,219.0
Abhishek Sharma,2018.0,3,63.0,63.0,190.9,33.0,3,0,0.0,0.0,0.0,Aggressive,Spin,1909000.0,0.0,196.71428571428572
Abishek Porel,2024.0,14,327.0,32.7,159.51,205.0,14,0,0.0,0.0,0.0,Aggressive,Spin,1595099.9999999998,0.0,327.0
Abishek Porel,2023.0,4,33.0,8.25,106.45,31.0,4,0,0.0,0.0,0.0,Anchor,Spin,1064500.0,0.0,180.0
Adam Zampa,2020.0,0.0,0.0,0.0,0.0,0.0,3,66,2.0,46.0,8.36,Anchor,Spin,0.0,460000.0,0.0
Adam Zampa,2017.0,6.0,5.0,5.0,71.42,7.0,6,119,7.0,23.28,8.21,Anchor,Spin,8.699041424586788,4.6559068818623635,2.5
Adam Zampa,2016.0,5.0,0.0,0.0,0.0,1.0,5,102,12.0,9.58,6.76,Anchor,Spin,0.0,95800.0,1.6666666666666667
Aiden Markram,2024.0,11,220.0,24.44,124.29,177.0,11,12,0.0,0.0,7.5,Anchor,Spin,16.571779042946094,0.0,220.0
Aiden Markram,2023.0,13,248.0,22.55,125.89,197.0,13,49,1.0,70.0,8.57,Anchor,Pace,14.68944353041388,3.1041990944607782,234.0
Aiden Markram,2022.0,14,381.0,47.63,139.05,274.0,14,36,1.0,64.0,10.67,Anchor,Pace,13.03174290775157,1.3436881299850303,283.0
Aiden Markram,2021.0,6,146.0,29.2,122.68,119.0,6,24,0.0,0.0,5.75,Anchor,Spin,21.335281125545645,0.0,248.75
Ajay Mandal,,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,Anchor,Spin,0.0,0.0,0.0
Ajinkya Rahane,2024.0,13,242.0,20.17,123.47,196.0,13.0,0.0,0.0,0.0,0.0,Anchor,Spin,1234700.0,0.0,242.0
Ajinkya Rahane,2023.0,14,326.0,32.6,172.49,189.0,14.0,0.0,0.0,0.0,0.0,Aggressive,Spin,1724900.0,0.0,284.0
Ajinkya Rahane,2022.0,7,133.0,19.0,103.91,128.0,7.0,0.0,0.0,0.0,0.0,Anchor,Spin,1039099.9999999999,0.0,233.66666666666666
Ajinkya Rahane,2021.0,2,8.0,8.0,100.0,8.0,0.0,0.0,0.0,0.0,0.0,Anchor,Spin,1000000.0,0.0,177.25
Ajinkya Rahane,2020.0,9,113.0,14.12,105.6,107.0,9.0,0.0,0.0,0.0,0.0,Anchor,Spin,1056000.0,0.0,164.4
